Unique code,Diet,Parasites,Clone,Rep,Block,length_7,length_8,length_14,length_15,length_21,length_22,length_28,length_29,length_35,length_36,length_38
M Uninf STD 7,M,Uninfected,Standard,7,2,,909.4,,NA,,NA,,NA,,NA,NA
M Uninf STD 8,M,Uninfected,Standard,8,2,,895.12,,1116.32,,1229.35,,NA,,NA,NA
M Uninf STD 9,M,Uninfected,Standard,9,2,,985.28,,1144.41,,1204.31,,NA,,NA,NA
M Uninf STD 10,M,Uninfected,Standard,10,2,,976.31,,1146.44,,NA,,NA,,NA,NA
M+ Uninf STD 1,M+,Uninfected,Standard,1,1,900.46,,1138.61,,1199.53,,1247.31,,NA,,NA
M+ Uninf STD 2,M+,Uninfected,Standard,2,1,891.66,,1059.2,,1161.53,,1259,,NA,,NA
M+ Uninf STD 3,M+,Uninfected,Standard,3,1,999.53,,1137.64,,1218.86,,NA,,NA,,NA
M+ Uninf STD 4,M+,Uninfected,Standard,4,1,956.24,,1143.92,,1345.35,,1505.97,,1639.34,,1631.96
M+ Uninf STD 5,M+,Uninfected,Standard,5,1,NA,,NA,,NA,,NA,,NA,,NA
M+ Uninf STD 6,M+,Uninfected,Standard,6,2,,921.02,,1124.21,,1145.73,,1246.81,,1377.47,1377.15
M+ Uninf STD 7,M+,Uninfected,Standard,7,2,,1001.9,,1162.87,,NA,,NA,,NA,NA
M+ Uninf STD 8,M+,Uninfected,Standard,8,2,,858.65,,1172.61,,1183.07,,NA,,NA,NA
M+ Uninf STD 9,M+,Uninfected,Standard,9,2,,950.43,,1128.04,,1291.77,,1345.25,,NA,NA
M+ Uninf STD 10,M+,Uninfected,Standard,10,2,,904.48,,1125.04,,1284.55,,1421.94,,1520.35,1560.64
S Past STD 1,S,Pasteuria,Standard,1,1,1014.61,,1404.18,,1635.81,,1747.62,,1866.24,,1901.03
S Past STD 2,S,Pasteuria,Standard,2,1,1004.04,,1385.03,,1526.39,,NA,,NA,,NA
S Past STD 3,S,Pasteuria,Standard,3,1,1050.05,,1346.26,,1406.64,,1465.69,,1561.82,,1573.71
S Past STD 4,S,Pasteuria,Standard,4,1,1017.45,,1353.61,,1386.45,,NA,,NA,,NA
S Past STD 5,S,Pasteuria,Standard,5,1,1064.59,,1423.64,,1525.81,,1621.09,,1803.76,,1756.95
S Past STD 6,S,Pasteuria,Standard,6,2,,1008.45,,1396.16,,1529.79,,1688.89,,1839.04,1798.61
S Past STD 7,S,Pasteuria,Standard,7,2,,1234.8,,NA,,NA,,NA,,NA,NA
S Past STD 8,S,Pasteuria,Standard,8,2,,NA,,NA,,NA,,NA,,NA,NA
S Past STD 9,S,Pasteuria,Standard,9,2,,966.97,,1326.82,,1554.58,,1591.99,,1726.59,1700.22
S Past STD 10,S,Pasteuria,Standard,10,2,,1082.51,,1422.18,,NA,,NA,,NA,NA
S:M Past STD 1,SM,Pasteuria,Standard,1,1,999.39,,NA,,NA,,NA,,NA,,NA
S:M Past STD 2,SM,Pasteuria,Standard,2,1,969.53,,1243.7,,1330.24,,1369.98,,1487.84,,1490.38
S:M Past STD 3,SM,Pasteuria,Standard,3,1,865.18,,1175.47,,NA,,NA,,NA,,NA
S:M Past STD 4,SM,Pasteuria,Standard,4,1,1089.85,,1318.9,,1388.49,,1525.36,,1582.95,,1591.19
S:M Past STD 5,SM,Pasteuria,Standard,5,1,973.5,,1294.95,,1289.03,,1419.65,,1494.92,,NA
S:M Past STD 6,SM,Pasteuria,Standard,6,2,,1013.4,,NA,,NA,,NA,,NA,NA
S:M Past STD 7,SM,Pasteuria,Standard,7,2,,764.01,,1230.32,,1378.68,,1463.23,,1551.62,1530.1
S:M Past STD 8,SM,Pasteuria,Standard,8,2,,1071.85,,1286.87,,1370.51,,1435.26,,1620.73,1639.87
S:M Past STD 9,SM,Pasteuria,Standard,9,2,,962.09,,1212.3,,1316.17,,1457.52,,1505.5,1494.11
S:M Past STD 10,SM,Pasteuria,Standard,10,2,,1011.94,,1277.44,,1484.85,,1596.93,,1739.91,1734.4
M Past STD 1,M,Pasteuria,Standard,1,1,909.56,,NA,,NA,,NA,,NA,,NA
M Past STD 2,M,Pasteuria,Standard,2,1,947.31,,NA,,NA,,NA,,NA,,NA
M Past STD 3,M,Pasteuria,Standard,3,1,978.33,,1270.19,,NA,,NA,,NA,,NA
M Past STD 4,M,Pasteuria,Standard,4,1,922.16,,1178.38,,NA,,NA,,NA,,NA
M Past STD 5,M,Pasteuria,Standard,5,1,952.73,,NA,,NA,,NA,,NA,,NA
M Past STD 6,M,Pasteuria,Standard,6,2,,932.37,,NA,,NA,,NA,,NA,NA
M Past STD 7,M,Pasteuria,Standard,7,2,,NA,,NA,,NA,,NA,,NA,NA
M Past STD 8,M,Pasteuria,Standard,8,2,,941.39,,1176.45,,1321.55,,1407.79,,1544,1528.45
M Past STD 9,M,Pasteuria,Standard,9,2,,928.49,,1151.28,,1230.11,,NA,,NA,NA
M Past STD 10,M,Pasteuria,Standard,10,2,,929.23,,1105.02,,1182.38,,NA,,NA,NA
M+ Past STD 1,M+,Pasteuria,Standard,1,1,937.17,,1134.33,,NA,,NA,,NA,,NA
M+ Past STD 2,M+,Pasteuria,Standard,2,1,996.53,,1133.14,,1290.91,,1332.55,,1454.08,,1492.24
M+ Past STD 3,M+,Pasteuria,Standard,3,1,1046.13,,1163.54,,NA,,NA,,NA,,NA
M+ Past STD 4,M+,Pasteuria,Standard,4,1,874.15,,1061.72,,1302.36,,1397.81,,NA,,NA
M+ Past STD 5,M+,Pasteuria,Standard,5,1,914.57,,1129.81,,1169.05,,NA,,NA,,NA
M+ Past STD 6,M+,Pasteuria,Standard,6,2,,924.09,,1097.22,,NA,,NA,,NA,NA
M+ Past STD 7,M+,Pasteuria,Standard,7,2,,979.45,,1165.28,,1346.74,,1508.49,,1583.55,1595.57
M+ Past STD 8,M+,Pasteuria,Standard,8,2,,952.87,,1103.24,,NA,,NA,,NA,NA
M+ Past STD 9,M+,Pasteuria,Standard,9,2,,906.15,,NA,,NA,,NA,,NA,NA
M+ Past STD 10,M+,Pasteuria,Standard,10,2,,909.61,,NA,,NA,,NA,,NA,NA
